"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 09/09/2003 :
Site 73194 001 (id 3973) --> site 73194 101 (id 6817)
Site 73194 101 (id 3988) --> site 73194 101 (id 6817)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°101
id 3988","15/02/90
00:00","15/02/90
00:00","","2150","820","","","","","","4","2","2","2","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","","","X","","","","",""
"Remarque : 1 poteau E.D.F.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°101
id 3988","14/02/90
00:00","14/02/90
00:00","","1550","880","","","","","","4","2","2","2","2","2","51-
100","X","O","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°101
id 3988","18/03/88
00:00","18/03/88
00:00","","2150","820","","","","","","4","2","2","2","2","2","21-50","X","S","","X","X","","","","","X","X","","","","X","","","","","X","","","","",""
"Remarque : 1 poteau P.T.T. cassé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°101
id 3988","12/02/88
00:00","12/02/88
00:00","","1550","880","","","","","","4","2","1","2","5","5","51-
100","","","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°101
id 3988","31/03/87
00:00","31/03/87
00:00","","2150","1600","","","","","","4","2","2","2","2","2","1-20","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°101
id 3988","13/01/87
00:00","13/01/87
00:00","","1900","1200","","","","","","4","2","1","2","1","1","1-20","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 3973","23/03/86
00:00","23/03/86
00:00","","2000","880","","","","","","4","2","2","2","2","2","1-20","X","SO","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 3973","23/02/86
00:00","23/02/86
00:00","","1700","860","","","","","","4","2","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 3973","05/04/85
00:00","05/04/85
00:00","","2150","1600","","","","","","4","3","2","5","2","2","0","","","X","","","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°001
id 3973","18/04/84
00:00","19/04/84
00:00","","1900","1200","","","","","","4","2","2","2","2","2","1-20","er","er","er","er","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 3973","08/04/83
00:00","08/04/83
00:00","","2150","820","","","","","","2","3","2","2","2","2","1-20","X","NO","X","","","X","","","","","X","","","","X","","","","","X","","","","",""
"Remarque : 1 poteau téléphonique couché.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3973","19/01/81
00:00","19/01/81
00:00","","1200","820","","","","","","5","2","2","2","2","2","1-20","er","er","er","er","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 3973","20/02/37
00:00","20/02/37
00:00","","2200","900","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
