"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°023
id 4024","31/03/81
00:00","01/04/81
00:00","2350","1650","","","","","","2","5","2","2","2","2","er","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°023
id 4024","01/01/79
00:00","01/01/79
00:00","2500","1650","","","","","","4","1","5","5","5","5","1-20","X","S","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°023
id 4024","25/01/78
00:00","25/01/78
00:00","2500","1550","","","","","","4","1","5","5","5","2","21-50","er","er","er","er","X","","","","X","","X","","","","X","","","","X","","X","","","",""
"Remarque : Avalanche tombant dans le périmètre d'observation : convention O.N.F. - C.T.G.R.E.F.  Dégâts constructions : une toiture de chalet endommagée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 4024","01/09/74
00:00","05/04/75
00:00","2300","1800","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°023
id 4024","14/04/70
00:00","14/04/70
00:00","2200","1700","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 4024","03/02/70
00:00","03/02/70
00:00","2500","1700","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 4024","06/05/65
00:00","06/05/65
00:00","2500","1700","","","","","","9","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 4024","08/02/55
00:00","08/02/55
00:00","3100","1600","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 4024","11/02/50
00:00","11/02/50
00:00","3100","1600","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 4024","02/05/47
00:00","02/05/47
00:00","3100","1600","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 4024","27/02/37
00:00","27/02/37
00:00","3100","1600","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
