"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 08/06/2004 :
Site 73280 003 (id 4379) --> site 73280 003 (id 8388)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 8388","02/03/15
00:00","02/03/15
00:00","","1900","1550","","","50","30","1.5","8","4","2","2","2","2","21-50","X","","X","X","","X","X","","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 8388","09/03/14
00:00","09/03/14
00:00","","1900","1550","","","50","30","1.5","8","4","2","2","2","2","51-
100","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/03/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 8388","12/03/09
00:00","13/03/09
00:00","","2100","1800","","X","300","20","2.0","9","9","1","1","0","9","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 13/03/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 8388","08/03/06
00:00","10/03/06
00:00","","1500","1480","","X","50","6","3.0","4","3","2","2","2","2","21-50","X","O","X","X","X","X","X","","X","","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 10/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 4379","23/01/04
00:00","23/01/04
00:00","","2000","1500","X","X","","","","1","1","1","5","5","5","1-20","","er","","","","","","X","","","X","","","","X","","","er","er","er","er","er","er","er","er"
"n°003
id 4379","22/02/03
00:00","22/02/03
00:00","","2000","1500","","","","","","4","5","5","5","5","5","0","","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 4379","09/03/00
00:00","09/03/00
00:00","","2000","1500","","","","","","4","5","2","5","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 4379","12/02/99
00:00","12/02/99
00:00","","2000","1400","","","","","","4","2","1","5","1","1","21-50","X","N","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 4379","24/03/96
00:00","24/03/96
00:00","","","","","","","","","4","4","2","2","2","2","0","","","X","X","er","er","er","er","er","er","X","","","","","","","er","er","er","er","er","er","",""
"n°003
id 4379","25/02/95
00:00","25/02/95
00:00","","2000","1500","","","","","","2","5","2","5","2","2","21-50","X","O","","","","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°003
id 4379","04/02/95
00:00","04/02/95
00:00","","2000","1500","","","","","","4","4","5","2","5","5","1-20","","","","","","","","","X","","X","","","","X","","","er","er","er","er","er","er","",""
"n°003
id 4379","16/03/94
00:00","16/03/94
00:00","","2000","1600","","","","","","2","3","2","5","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 4379","06/04/92
00:00","06/04/92
00:00","","2000","1600","","","","","","4","5","5","5","2","5","1-20","","","","","","","","","X","X","X","","","","X","","","X","","","","","","",""
