"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°006
id 4424","04/01/98
00:00","04/01/98
00:00","2800","1350","","","","","","2","2","2","1","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","26/02/97
00:00","26/02/97
00:00","2500","1390","","","","","","2","2","2","2","2","2","1-20","X","O","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","29/11/96
00:00","29/11/96
00:00","2700","1350","","","","","","2","2","5","2","5","5","51-
100","","","","","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 4414","31/01/95
00:00","31/01/95
00:00","2900","1380","","","","","","2","2","1","2","5","2","21-50","X","er","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Une partie de l'avalanche est passée par dessus le tourne-avalanche situé au pied du couloir.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 4424","30/01/95
00:00","30/01/95
00:00","2800","1330","","","","","","5","2","1","2","1","5","21-50","X","O","X","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","30/01/95
00:00","30/01/95
00:00","2850","1330","","","","","","5","2","1","2","1","5","21-50","X","O","X","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","10/04/94
00:00","10/04/94
00:00","2700","1340","","","","","","2","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","31/12/93
00:00","31/12/93
00:00","2600","1340","","","","","","5","5","2","2","2","2","21-50","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","18/03/88
00:00","18/03/88
00:00","2600","1340","","","","","","5","2","2","2","2","2","21-50","X","er","X","","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","10/02/88
00:00","10/02/88
00:00","2900","1350","","","","","","4","2","1","2","1","1","21-50","X","er","","","","","X","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 4414","18/04/87
00:00","18/04/87
00:00","2900","1380","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","10/04/86
00:00","10/04/86
00:00","2600","1400","","","","","","2","3","2","2","2","2","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","14/05/85
00:00","14/05/85
00:00","2900","1340","","","","","","1","3","2","2","2","1","1-20","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","22/04/84
00:00","22/04/84
00:00","2900","1340","","","","","","1","3","2","2","2","1","0","","","","X","","","","X","","","X","","","","","","","X","","","","","","",""
"Remarque : Très grosse avalanche, très peu rapide. Durée une dizaine de minute.  Une certaine quantité de neige a débordé de la tourne.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4414","08/03/83
00:00","08/03/83
00:00","2950","1360","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 4424","04/04/82
00:00","04/04/82
00:00","2700","1900","","","","","","2","1","2","1","2","2","er","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 4414","20/01/81
00:00","20/01/81
00:00","1800","1350","","","","","","2","4","1","2","1","1","51-
100","X","er","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Latourne avalanche de ce couloir est complètement remplie. L'avalanche est passée par dessus.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
