"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 03/07/2003 :
Site 73296 009 (id 4482) --> site 73296 009 (id 6068)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 6068","24/11/16
00:00","25/11/16
16:00","","2350","2150","","","200","70","1.0","4","1","2","1","2","2","21-50","X","SE","X","X","X","X","X","","","","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 26/11/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 6068","01/04/16
17:00","01/04/16
19:00","","2350","2250","","","50","50","0.5","4","3","9","1","2","2","0","X","SE","X","X","","X","X","","X","","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 05/04/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 6068","14/04/15
00:00","14/04/15
00:00","","2380","2150","","","150","60","1.5","8","5","2","1","2","2","0","","","X","","","","","X","","","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 20/04/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 6068","16/04/13
00:00","16/04/13
00:00","","2410","2120","","","100","100","1.0","4","3","2","1","2","2","0","","","X","","","","","X","","","","X","","","X","","","X","","","","","","B","N"
"Date du constat : 22/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : renseignements donnés par le service des pistes. Déclenchement aussi artificiel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 6068","02/05/12
00:00","02/05/12
00:00","","2430","2220","","","50","20","0.5","4","3","2","1","2","2","21-50","X","S","","X","X","X","","","","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/05/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 6068","16/12/11
00:00","18/12/11
00:00","","2380","2100","","","","","","9","9","1","1","1","1",">100","X","NO","?","?","X","?","?","","","","","","X","","X","","","","","","","","X","I","O"
"Date du constat : 19/12/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclenché le 16/12/2011 au levé du jour en PIDA. Service des pistes m'a dit que c'est arrivé dans le lac. Le dépôt est non visible. Le départ a été déclenché par l'avalex.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 6068","28/02/10
00:00","28/02/10
00:00","","2350","2140","","","100","30","1.0","8","1","9","1","2","2","1-20","?","","X","","?","?","?","?","?","?","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 28/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : A atteint la piste de ski. Déclenchée à l'avalex (renseignements pris au service des pistes)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4482","24/04/75
00:00","24/04/75
00:00","","2400","2100","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 29/04/1975.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Heure notée : matinée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
