"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : N'a pas débordé de la tourne. Différentes avalanches se sont produites durant cette période sur ce site (renseignements donnés par le service des pistes de Tignes)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","02/05/12
00:00","02/05/12
00:00","2450","2120","","","50","30","2.0","4","3","2","1","2","2","21-50","X","S","","X","X","X","","","","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/05/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","20/03/11
00:00","20/03/11
00:00","2500","2120","","","50","50","1.5","8","3","9","1","2","2","1-20","X","SE","X","?","","","","X","","","","X","","","X","","","X","","","","","","B","N"
"Date du constat : 24/03/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : renseignements pris au service des pistes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","24/12/10
00:00","27/12/10
00:00","2270","2130","","","50","50","2.0","8","2","1","1","2","1","1-20","","","","","?","?","?","?","?","?","","X","","","X","","","X","","","","","","B","N"
"Date du constat : 27/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Provoquée par un skieur, car trace, mais aussi traces de sortie. Comme à Val d'Isère, pas d'adhésion à la sous couche. Petite avalanche","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","06/12/10
00:00","07/12/10
00:00","2430","2130","","","50","50","0.5","8","2","1","1","2","1","1-20","X","O","","X","","X","?","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Arrivée comme d'habitude dans la tourne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","27/02/10
00:00","28/02/10
00:00","2450","2120","","","50","50","1.0","8","1","9","1","2","9","1-20","?","","X","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 10/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Plaque qui s'est décrochée dans la nuit, renseignement pris au service des pistes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","15/04/09
00:00","22/04/09
00:00","2400","2170","","","50","50","2.0","4","5","9","1","9","2","1-20","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/04/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche arrivée le 20/04/09 dans l'après-midi. (propos recueillis le 22/04/09 par A. TUZZA). L'avalanche est partie toute petite au départ, mais a enchaîné une plaque importante
en épaisseur. La neige était humide.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","20/01/09
00:00","21/01/09
00:00","2450","2110","","","30","40","2.5","8","2","1","1","9","1","21-50","","","","","","","","X","","","","X","","","X","","","X","","","","","","B","N"
"Date du constat : 21/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Le service des pistes de Tignes m'a indiqué qu'un skieur a certainement déclenché le départ car il a été vu à cet endroit et ses traces arrivent au départ de la plaque. Il y a eu
recherche de victimes ne donnant rien. L'avalanche s'est arrêtée dans la tou","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","14/12/08
00:00","18/12/08
00:00","2400","2120","","","50","20","2.0","9","2","1","1","9","1",">100","X","SE","","","X","","","","","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 18/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Constat fait avec D. JULIEN (RTM). DIRECTION VENT: SSE.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
