"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°021
id 4595","13/03/86
00:00","13/03/86
00:00","2000","1800","","","","","","1","4","2","1","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","06/03/86
00:00","06/03/86
00:00","2050","1950","","","","","","2","4","2","1","2","2","0","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","04/03/86
00:00","04/03/86
00:00","2030","1950","","","","","","1","4","1","1","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","20/02/86
00:00","20/02/86
00:00","1970","1750","","","","","","1","4","5","1","5","5","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","29/01/86
00:00","29/01/86
00:00","1980","1750","","","","","","1","4","5","1","5","1","1-20","X","E","","","","","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","26/01/86
00:00","26/01/86
00:00","1950","1850","","","","","","3","4","5","1","5","5","21-50","X","NE","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","23/03/84
00:00","23/03/84
00:00","2140","1800","","","","","","1","4","5","1","2","5","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","03/02/84
00:00","03/02/84
00:00","2050","1800","","","","","","2","4","2","1","2","5","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","15/03/82
00:00","15/03/82
00:00","2450","1950","","","","","","3","2","1","1","5","1","21-50","X","NO","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","28/01/79
00:00","28/01/79
00:00","1800","1600","","","","","","2","2","5","5","2","5","1-20","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","21/01/79
00:00","23/01/79
00:00","1750","1500","","","","","","2","4","2","5","2","2","er","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°021
id 4595","02/04/78
00:00","02/04/78
00:00","1750","1700","","","","","","2","4","2","5","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
