"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2004-2005.
Filiations entre les sites définies lors du toilettage du 24/06/2004 :
Site 73307 001 (id 4635) --> site 73307 001 (id 8478)
Site 73307 018_CLPA (id 4655) --> site 73307 001 (id 8478)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 4635","30/03/99
00:00","30/03/99
00:00","","2700","2400","","","","","","4","2","2","1","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","22/02/99
00:00","24/02/99
00:00","","2600","2300","","","","","","1","2","5","1","5","5","51-
100","X","N","","","X","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","01/02/98
00:00","10/02/98
00:00","","2650","2350","","","","","","1","1","5","1","5","5","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","24/03/96
00:00","24/03/96
00:00","","2780","2350","","","","","","4","1","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","04/04/93
00:00","08/04/93
00:00","","2700","2400","","","","","","2","2","2","1","2","2","21-50","X","S","","X","X","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","25/04/91
00:00","25/04/91
00:00","","2900","2420","","","","","","2","2","5","2","5","5","21-50","","","","","","","","","X","","","X","","","","","X","X","","","","","","",""
"Remarque : 1 victime : Mr Deléglise (nom incertain car mal écrit) Nicolas de Saint Martin Les Portes (nom incertain car mal écrit).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4635","01/02/90
00:00","09/02/90
00:00","","2780","2430","","","","","","1","3","5","1","2","5","0","X","SO","","X","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","18/03/89
00:00","20/03/89
00:00","","2700","2300","","","","","","1","1","2","1","5","5","0","","","X","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","03/03/89
00:00","05/03/89
00:00","","2860","2340","","","","","","1","2","1","5","5","1","21-50","X","O","","","","","X","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","05/03/85
00:00","12/03/85
00:00","","2650","2300","","","","","","3","2","1","1","5","1","21-50","X","N","","","","","X","","X","X","X","","","","X","","","X","","","","","","",""
"Remarque : CLPA n°16,17,18.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°018_C
LPA
id 4655","09/04/83
00:00","09/04/83
00:00","","2600","2280","","","","","","2","2","2","5","2","2","1-20","X","NE","X","","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4635","27/05/19
00:00","27/05/19
00:00","","2300","1800","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
