"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2003-2004.
Filiations entre les sites définies lors du toilettage du 03/02/2003 :
Site 73312 001 (id 4675) --> site 73312 001 (id 9150)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 9150","11/01/04
00:00","12/01/04
00:00","","1700","1300","","","","","","8","5","2","5","2","2","1-20","","er","X","","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Impossibilité de voir la zone d'arrivée.  L'arrivée est cachée par la forêt.  Altitude d'arrivée estimée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4675","27/02/96
00:00","27/02/96
00:00","","1600","1200","","","","","","1","4","5","2","5","9","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Impossibilité de voir le cône d'arrivée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4675","25/01/95
00:00","25/01/95
00:00","","1620","1200","","","","","","2","4","2","2","2","2","51-
100","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Dans les 3 jours précédant le déclenchement de l'avalanche, alternance de pluie et de neige.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4675","13/04/94
00:00","13/04/94
00:00","","1700","1100","","","","","","2","4","5","2","2","5",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4675","11/04/94
00:00","11/04/94
00:00","","1700","1200","","","","","","2","4","2","2","2","2",">100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4675","20/12/93
00:00","20/12/93
00:00","","1700","1100","","","","","","2","4","2","2","2","2","21-50","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4675","06/03/89
00:00","06/03/89
00:00","","1720","1100","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4675","11/04/83
00:00","11/04/83
00:00","","1700","800","","","","","","4","4","2","2","2","2","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4675","10/02/81
00:00","10/02/81
00:00","","1700","900","","","","","","4","4","2","2","2","2","er","","","","X","","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4675","05/02/80
00:00","05/02/80
00:00","","1700","900","","","","","","9","4","2","2","9","2","er","","","X","","","X","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Forte pluie à très haute altitude.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4675","10/04/79
00:00","10/04/79
00:00","","1700","900","","","","","","4","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Orageuse.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4675","17/02/78
00:00","17/02/78
00:00","","1700","900","","","","","","4","4","2","5","9","9","er","","","X","","","X","","","","X","X","","","","X","","","er","er","er","er","er","er","",""
