"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 25/08/2003 :
Site 73323 011 (id 4730) --> site 73323 201 (id 6553)
Site 73323 016 (id 4735) --> site 73323 201 (id 6553)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°201
id 6553","05/04/16
17:00","05/04/16
19:00","","A 2200","Z 1750","","X","150","100","1.0","8","4","2","2","1","2","0","?","","X","?","","","?","","X","","","","X","","X","","","","","","X","","","B","N"
"Date du constat : 07/04/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avis saisi même si le seuil d'observation à 1600 m n'est pas atteint; importante avalanche de neige lourde provoquée au gazex pour sécurisation des pistes de ski.
Le dépôt est situé sur la piste de ski au dessus du Solliet, en bordure forestière.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 6553","04/03/06
00:00","04/03/06
00:00","","2100","","","X","70","30","1.0","8","2","1","2","5","2",">100","X","NE","","","X","","","","X","X","","","X","","X","","","","","","X","","","B","N"
"Date du constat : 07/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Cette avalanche, déclenchée par Catex, a traversé en trois endroits la piste de ski 'plan des violettes - Replat d'En Haut' et a provoqué des dégâts dans de la forêt au stade de
perchis et jeune futaie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 4730","22/03/01
00:00","22/03/01
00:00","","2200","1700","","","","","","2","4","2","1","2","2","0","","","X","X","","","","","X","X","","","X","","X","","","X","","","","","","",""
"n°011
id 4730","22/02/99
00:00","22/02/99
00:00","","2200","1600","","","","","","2","5","2","1","2","2","51-
100","X","er","","","X","","X","","","X","","","X","","X","","","X","","","","","","",""
"n°016
id 4735","12/02/99
00:00","12/02/99
00:00","","2100","1700","","","","","","5","5","5","5","5","5",">100","","","","","","","","X","","","","X","","","","","X","","","","X","","","",""
"Remarque : Cette avalanche qui s'est déclenchée au milieu de l'après-midi, a emporté un groupe de huit skieurs qui évoluaient en hors piste, sus la conduite d'un guide de haute montagne. Il y
a eu trois morts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 4730","28/01/99
00:00","29/01/99
00:00","","2100","1600","","","","","","1","2","5","1","5","5","51-
100","X","er","","","X","","X","","","","","","X","","X","","","X","","","","","","",""
"n°016
id 4735","22/12/91
00:00","22/12/91
00:00","","2100","1150","","","","","","2","5","5","2","2","5",">100","X","SE","","","X","","X","","","X","","","X","","X","","","","","X","X","","","",""
"Remarque : Un poteau de la ligne électrique alimentant le télésiège a été sectionné.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 4730","22/12/91
00:00","22/12/91
00:00","","2100","1150","","","","","","2","5","5","2","2","5",">100","X","SE","","","X","","X","","","X","","","X","","X","","","X","","","","","","",""
"n°011
id 4730","14/02/90
00:00","14/02/90
00:00","","2200","1400","","","","","","2","2","2","2","2","2",">100","X","E","","","","X","","","X","X","","","X","","X","","","X","","","","","","",""
"n°011
id 4730","21/04/87
00:00","21/04/87
00:00","","2100","1650","","","","","","2","4","2","1","2","2","er","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
