"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 21/03/2006 :
Site 74014 019 (id 4780) --> site 74014 019 (id 11934)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°019
id 11934","15/04/13
00:00","17/04/13
00:00","","2000","1800","","X","50","60","3.0","8","4","2","5","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 17/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 11934","03/04/11
00:00","04/04/11
00:00","","2000","1800","","X","150","100","3.0","8","3","2","5","2","2","0","","","X","","","X","","","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/04/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 11934","27/02/10
00:00","28/02/10
00:00","","2000","1800","","X","80","50","1.5","4","3","2","5","2","2","0","X","","X","X","","X","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 4780","27/03/06
00:00","28/03/06
00:00","","2000","1800","","","250","100","1.5","4","3","2","1","2","2","0","","","","X","X","","","","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 29/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 4780","24/03/05
00:00","25/03/05
00:00","","1950","1850","","","150","100","2.0","4","3","2","1","2","2","0","","","","X","","","","","X","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 25/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 4780","13/03/02
00:00","13/03/02
00:00","","2000","1800","","","","","","2","2","2","1","2","5","21-50","","er","","","","","","","X","","","","X","","X","","","X","","","","","","",""
"n°019
id 4780","09/02/02
00:00","09/02/02
00:00","","2000","1800","","","","","","4","2","1","1","2","1","1-20","","er","","","","","","","X","","","","X","","X","","","X","","","","","","",""
"n°019
id 4780","20/02/99
00:00","20/02/99
00:00","","2000","1800","","","","","","4","2","1","1","2","1","1-20","","","","","","","","X","","","","","X","","X","","","X","","","","","","",""
"n°019
id 4780","10/02/99
00:00","10/02/99
00:00","","2000","1800","","","","","","4","2","1","1","2","1","21-50","","","","","","","X","","X","","","","X","","X","","","X","","","","","","",""
"n°019
id 4780","08/02/99
00:00","08/02/99
00:00","","2000","1800","","","","","","4","2","1","1","1","1","51-
100","","","","","","","","X","","","","","X","","X","","","X","","","","","","",""
"n°019
id 4780","30/01/99
00:00","30/01/99
00:00","","2000","1800","","","","","","4","2","1","1","1","1","21-50","X","NO","","","","","X","X","","","","","X","","X","","","X","","","","","","",""
"n°019
id 4780","13/01/99
00:00","13/01/99
00:00","","2000","1800","","","","","","4","2","1","5","2","1","1-20","X","NO","","","X","","","","","","X","","","","X","","","X","","","","","","",""
