"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°zone_
C
id 5023","01/04/85
00:00","02/04/85
00:00","1400","1200","","","","","","2","4","2","2","2","2","0","X","O","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°zone_
C
id 5023","24/02/85
00:00","25/02/85
00:00","1350","1150","","","","","","5","5","5","2","5","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Couloir au centre de la zone.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
C
id 5023","28/03/84
00:00","28/03/84
00:00","1350","1080","","","","","","2","4","2","2","2","2","21-50","X","SO","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : L'avalanche a traversé la piste de ski de fond.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
C
id 5023","28/03/84
00:00","29/03/84
00:00","1350","1080","","","","","","2","4","2","2","2","2","21-50","X","SO","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Traversé piste de ski de fond.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
C
id 5023","28/03/84
00:00","29/03/84
00:00","1250","1080","","","","","","2","4","2","2","2","2","21-50","X","SO","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Traversé la piste de ski de fond.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
C
id 5023","10/02/84
00:00","11/02/84
00:00","1450","1150","","","","","","2","4","2","2","2","2","51-
100","X","NO","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Couloir le plus au Sud.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
C
id 5023","23/12/83
00:00","23/12/83
00:00","1490","1250","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Le couloir le plus au Nord Ouest.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
C
id 5023","07/04/83
00:00","07/04/83
00:00","1450","1100","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Couloir de cendre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
C
id 5023","08/12/81
00:00","08/12/81
00:00","1450","1200","","","","","","2","4","2","2","2","2","51-
100","X","O","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Le couloir le plus au Nord Ouest.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5033","19/03/01
00:00","19/03/01
00:00","","","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
