"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 10/03/2005 :
Site 74085 001 (id 5100) --> site 74085 001 (id 11132)
Site 74085 005_CLPA (id 5105) --> site 74085 001 (id 11132)
Site 74085 006_CLPA (id 5107) --> site 74085 001 (id 11132)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 11132","04/03/06
00:00","04/03/06
00:00","","?","1240","","X","","25","2.0","9","9","9","2","2","2","21-50","X","SO","","X","X","","X","","X","","X","","","","X","","","X","","","","","","I","O"
"Date du constat : 04/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Information par téléphone du responsable de station vers 10h30 le 04/03/06. Nous nous sommes rendu sur place, photos. Réunion commissions sécurité en commune fermeture
des routes à l'aval tenu public 'TOTEM'. Information téléphone au RTM le 06/03/06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005_C
LPA
id 5105","22/02/99
00:00","22/02/99
00:00","","1900","1190","","","","","","2","3","2","5","2","2","21-50","X","er","","","X","","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : 50 ml au Nord habitation sommet du Baptieu (nom incertain car mal écrit) (2,50 à 3 m2 de neige dans le départ).  (Plus de fiches nanette (nom incertain car mal écrit)).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 5100","22/02/99
00:00","22/02/99
00:00","","2050","1350","","","","","","2","3","2","5","2","2","0","X","er","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : 50 ml au Nord habitation sommet du Baptieu (nom incertain car mal écrit) (2,50 à 3 m2 de neige dans le départ).  (Plus de fiches nanette (nom incertain car mal écrit)).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006_C
LPA
id 5107","09/02/99
00:00","09/02/99
00:00","","2350","1250","","","","","","4","2","1","1","1","1",">100","X","er","","","X","","X","","","","X","","","","X","","","","","X","","","","",""
"Remarque : Pylône EDF, ligne haute tension lieu-dit ""Les Tornets"" (nom incertain car mal écrit) détruit par aérosol.  Survol hélico E.O.F. le 11/02/99.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 5100","14/02/90
00:00","14/02/90
00:00","","2050","1350","","","","","","2","2","2","2","2","2",">100","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 5100","06/02/86
00:00","06/02/86
00:00","","2050","1650","","","","","","2","4","5","2","5","5","0","","","","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Coulée peu importante.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 5100","08/02/84
00:00","08/02/84
00:00","","","1150","","","","","","4","9","2","5","2","2",">100","X","er","","","X","","X","","","X","X","","","","X","","","","X","X","","X","","",""
"Remarque : Une remontée mécanique a été recouverte par l'avalanche.  Arrive à ras du chalet du C.A.F.  L'arrivée s'élargit en plusieurs ramifications.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 5100","08/04/83
00:00","09/04/83
00:00","","2150","1300","","","","","","2","2","2","5","2","2",">100","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Même zone de départ que celle du 20.1.1981.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 5100","06/04/83
00:00","07/04/83
00:00","","2000","1320","","","","","","1","1","2","2","2","2","51-
100","","","X","","X","X","","","","","X","","","","X","","","X","","","","","","",""
