"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 28/06/2004 :
Site 74143 012 (id 5226) --> site 74143 012 (id 9062)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°012
id 5226","25/01/84
00:00","25/01/84
00:00","","2100","1040","","","","","","4","2","1","1","5","1",">100","X","O","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Coulée versant (nom incertain car mal écrit) Nord Est Mont Lachat.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","20/01/81
00:00","20/01/81
00:00","","2400","1040","","","","","","2","2","1","5","1","1","51-
100","er","er","er","er","","","","","X","","X","","","","X","","","","X","X","X","","","",""
"Remarque : Avalanche importante. Un pdes (???) de toit d'une maison arraché, un pylône du téléphérique militaire arraché, un pylône EDF et ligne endommagée (ligne Bionnay-Chamonix
45000 V), forêt détruite sur 15 ha environ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","24/01/80
00:00","24/01/80
00:00","","2000","1100","","","","","","5","2","2","5","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 5226","16/02/78
00:00","16/02/78
00:00","","2000","1100","","","","","","4","2","5","5","5","5","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 5226","22/04/75
00:00","22/04/75
00:00","","2100","1100","","","","","","2","2","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche a suivi le couloir du Nant Freynet et s'est arrêtée à la hauteur du hameau de l'Ormey (environ 100 m du village des Houches).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","22/04/68
00:00","22/04/68
00:00","","2000","1100","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/04/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","28/12/65
00:00","28/12/65
00:00","","1900","1100","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","05/05/65
00:00","05/05/65
00:00","","1900","1150","","","","","","4","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","01/04/63
00:00","30/04/63
00:00","","1900","1250","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","05/04/62
00:00","06/04/62
00:00","","2600","1000","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","01/04/62
00:00","30/04/62
00:00","","1900","1200","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 5226","05/02/61
00:00","06/02/61
00:00","","2000","1050","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
