"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 22/03/2006 :
Site 74159 004 (id 5241) --> site 74159 004 (id 11894)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 11894","20/12/12
00:00","21/12/12
00:00","","1250","850","","","90","50","4.0","8","4","2","2","2","2","51-
100","?","","?","?","?","X","?","?","?","?","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 21/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : SEUIL D'OBSERVATION BAS EN FORET A 750 M, RAREMENT ATTEINT
EVENEMENT SIGNALE CAR L'AVALANCHE A ATTEINT LA FORET (RARE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 5241","22/02/99
00:00","22/02/99
00:00","","1400","700","","","","","","2","4","2","5","2","2",">100","X","S","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","23/03/96
00:00","23/03/96
00:00","","1500","1000","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","14/03/95
00:00","14/03/95
00:00","","1500","1000","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","04/03/94
00:00","04/03/94
00:00","","","","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","19/03/92
00:00","19/03/92
00:00","","1500","1000","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","12/03/89
00:00","12/03/89
00:00","","1500","1000","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","20/03/88
00:00","20/03/88
00:00","","1500","1000","","","","","","2","4","2","2","2","5","0","","","X","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","18/04/87
00:00","18/04/87
00:00","","1500","800","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","11/03/86
00:00","11/03/86
00:00","","1500","800","","","","","","2","4","2","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","04/04/85
00:00","04/04/85
00:00","","1600","900","","","","","","2","4","5","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","11/02/79
00:00","11/02/79
00:00","","1100","950","","","","","","1","2","2","2","2","2","er","er","er","er","er","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","11/02/79
00:00","11/02/79
00:00","","","","","","","","","1","2","2","2","2","2","er","er","er","er","er","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 5241","29/03/78
00:00","29/03/78
00:00","","","","","","","","","1","5","1","2","2","9","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
