"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2005-2006.
Filiations entre les sites définies lors du toilettage du 19/07/2005 :
Site 74270 021 (id 5588) --> site 74270 021 (id 10502)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°021
id 5588","19/02/88
00:00","19/02/88
00:00","","1600","1300","","","","","","2","4","2","5","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°021
id 5588","03/03/86
00:00","03/03/86
00:00","","1600","1300","","","","","","2","4","2","1","2","2","1-20","","","","X","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°021
id 5588","01/04/85
00:00","02/04/85
00:00","","1600","1100","","","","","","2","3","2","5","2","2","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°021
id 5588","10/03/81
00:00","10/03/81
00:00","","1600","1100","","","","","","5","1","2","5","2","2","0","","","","X","","","","","X","","X","","","","X","","","er","er","er","er","er","er","",""
"Remarque : Heure notée : jour.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°021
id 5588","01/03/77
00:00","31/03/77
00:00","","1600","1100","","","","","","2","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°021
id 5588","17/04/75
00:00","17/04/75
00:00","","1600","1000","","","","","","2","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°021
id 5588","13/02/68
00:00","13/02/68
00:00","","1400","1200","","","","","","1","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/02/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°021
id 5588","01/09/67
00:00","31/08/68
00:00","","","","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°021
id 5588","10/04/63
00:00","10/04/63
00:00","","1500","1050","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°021
id 5588","16/01/54
00:00","17/01/54
00:00","","1500","1000","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°021
id 5588","25/03/53
00:00","25/03/53
00:00","","1500","1000","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
