"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 27/04/2006 :
Site 74280 011 (id 5671) --> site 74280 011 (id 12175)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°011
id 12175","13/02/15
00:00","14/02/15
00:00","","?","750","","","100","4","1.5","9","9","2","2","2","2","0","","","X","","","X","","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 17/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : 2ème événement sur ce site : remplissage du merlon (garde inférieure à 1 m)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 12175","03/01/15
00:00","05/01/15
00:00","","?","750","","","60","4","0.800
0000
12","9","9","2
2","","2","2","0","?","","X","X","?","X","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/01/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Légère érosion latérale du merlon (ouvrage RTM 2014) après l'événement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 12175","14/12/12
00:00","15/12/12
00:00","","?","750","","","100","20","4.0","9","9","2","2","2","2",">100","","","X","?","X","X","?","?","?","?","X","","","","X","","","","","","","X","","BS","N"
"Date du constat : 17/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Réouverture de la route réalisée par les services techniques de la commune de Thônes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 12175","05/12/10
00:00","06/12/10
00:00","","?","750","","","20","8","4.0","9","9","2","2","2","2","1-20","?","","X","X","?","X","?","?","?","?","X","","","","X","","","","","","er","X","","BS","N"
"Date du constat : 08/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone de départ non visible depuis le point d'observation. Réouverture de la route communale effectuée par les Services Techniques de Thônes.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 12175","25/02/10
00:00","01/03/10
00:00","","?","780","","","5","4","1.0","9","9","9","2","2","2","1-20","","","X","X","","","","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 01/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone de départ non visible depuis le point d'observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 5671","17/01/06
00:00","19/01/06
00:00","","?","750","","","10","6","1.5","9","9","9","2","2","2","1-20","","","X","X","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 19/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone de départ non visible depuis la vallée. Route de Montremont barrée et réouverte par la commune.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 5671","11/03/05
00:00","11/03/05
00:00","","?","750","","","8","6","1.5","9","9","9","2","2","2","er","?","","","X","","","","X","","","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 17/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
